Ticker,Data,Empresa,RL,LL,EBITDA,Data_Publicacao,Preco_Abertura,Preco_Fechamento,LPA,ROA,ROE,MEB,CRESC_RL_12M,CRESC_LL_12M,CRESC_EBITDA_12M,CAPEX,FCO,FCF,Divida_Liquida,PL,Divida_Bruta,AT,DVA_Despesas_Fin,PC,PNC,Outros_PC,LUB,Consolidado,Convencao,Moeda,Data_Demonstracao,Meses,Data_Analise,QuarterEnd
IBOV,2009-12-31,,,,,,68587.0,70045.0,,,,,,,,,,,,,,,,,,,,,,,2009-12-31,,2010-01-04,2009-12-31
IBOV,2010-03-31,,,,,,70374.0,71136.0,,,,,,,,,,,,,,,,,,,,,,,2010-03-31,,2010-04-01,2010-03-31
IBOV,2010-06-30,,,,,,60934.0,61236.0,,,,,,,,,,,,,,,,,,,,,,,2010-06-30,,2010-07-01,2010-06-30
IBOV,2010-09-30,,,,,,69438.0,70229.0,,,,,,,,,,,,,,,,,,,,,,,2010-09-30,,2010-10-01,2010-09-30
IBOV,2010-12-31,,,,,,69309.0,69962.0,,,,,,,,,,,,,,,,,,,,,,,2010-12-31,,2011-01-03,2010-12-31
IBOV,2011-03-31,,,,,,68588.0,69268.0,,,,,,,,,,,,,,,,,,,,,,,2011-03-31,,2011-04-01,2011-03-31
IBOV,2011-06-30,,,,,,62403.0,63394.0,,,,,,,,,,,,,,,,,,,,,,,2011-06-30,,2011-07-01,2011-06-30
IBOV,2011-09-30,,,,,,52319.0,50791.0,,,,,,,,,,,,,,,,,,,,,,,2011-09-30,,2011-10-03,2011-09-30
IBOV,2011-12-31,,,,,,56755.0,57829.0,,,,,,,,,,,,,,,,,,,,,,,2011-12-31,,2012-01-02,2011-12-31
IBOV,2012-03-31,,,,,,64514.0,65216.0,,,,,,,,,,,,,,,,,,,,,,,2012-03-31,,2012-04-02,2012-03-31
IBOV,2012-06-30,,,,,,54355.0,54692.0,,,,,,,,,,,,,,,,,,,,,,,2012-06-30,,2012-07-02,2012-06-30
IBOV,2012-09-30,,,,,,59171.0,59570.0,,,,,,,,,,,,,,,,,,,,,,,2012-09-30,,2012-10-01,2012-09-30
IBOV,2012-12-31,,,,,,60990.0,62550.0,,,,,,,,,,,,,,,,,,,,,,,2012-12-31,,2013-01-02,2012-12-31
IBOV,2013-03-31,,,,,,56348.0,55902.0,,,,,,,,,,,,,,,,,,,,,,,2013-03-31,,2013-04-01,2013-03-31
IBOV,2013-06-30,,,,,,47457.0,47229.0,,,,,,,,,,,,,,,,,,,,,,,2013-06-30,,2013-07-01,2013-06-30
IBOV,2013-09-30,,,,,,52337.0,53179.0,,,,,,,,,,,,,,,,,,,,,,,2013-09-30,,2013-10-01,2013-09-30
IBOV,2013-12-31,,,,,,51522.0,50341.0,,,,,,,,,,,,,,,,,,,,,,,2013-12-31,,2014-01-02,2013-12-31
IBOV,2014-03-31,,,,,,50412.0,50270.0,,,,,,,,,,,,,,,,,,,,,,,2014-03-31,,2014-04-01,2014-03-31
IBOV,2014-06-30,,,,,,53170.0,53171.0,,,,,,,,,,,,,,,,,,,,,,,2014-06-30,,2014-07-01,2014-06-30
IBOV,2014-09-30,,,,,,54115.0,52858.0,,,,,,,,,,,,,,,,,,,,,,,2014-09-30,,2014-10-01,2014-09-30
IBOV,2014-12-31,,,,,,50004.0,48512.0,,,,,,,,,,,,,,,,,,,,,,,2014-12-31,,2015-01-02,2014-12-31
IBOV,2015-03-31,,,,,,51186.0,52321.0,,,,,,,,,,,,,,,,,,,,,,,2015-03-31,,2015-04-01,2015-03-31
IBOV,2015-06-30,,,,,,53080.0,52757.0,,,,,,,,,,,,,,,,,,,,,,,2015-06-30,,2015-07-01,2015-06-30
IBOV,2015-09-30,,,,,,45064.0,45313.0,,,,,,,,,,,,,,,,,,,,,,,2015-09-30,,2015-10-01,2015-09-30
IBOV,2015-12-31,,,,,,43348.0,42141.0,,,,,,,,,,,,,,,,,,,,,,,2015-12-31,,2016-01-04,2015-12-31
IBOV,2016-03-31,,,,,,50054.0,50561.0,,,,,,,,,,,,,,,,,,,,,,,2016-03-31,,2016-04-01,2016-03-31
IBOV,2016-06-30,,,,,,51540.0,52233.0,,,,,,,,,,,,,,,,,,,,,,,2016-06-30,,2016-07-01,2016-06-30
IBOV,2016-09-30,,,,,,58370.0,59461.0,,,,,,,,,,,,,,,,,,,,,,,2016-09-30,,2016-10-03,2016-09-30
IBOV,2016-12-31,,,,,,60227.0,59588.0,,,,,,,,,,,,,,,,,,,,,,,2016-12-31,,2017-01-02,2016-12-31
IBOV,2017-03-31,,,,,,64989.0,65211.0,,,,,,,,,,,,,,,,,,,,,,,2017-03-31,,2017-04-03,2017-03-31
IBOV,2017-06-30,,,,,,62900.0,63279.0,,,,,,,,,,,,,,,,,,,,,,,2017-06-30,,2017-07-03,2017-06-30
IBOV,2017-09-30,,,,,,74294.0,74359.0,,,,,,,,,,,,,,,,,,,,,,,2017-09-30,,2017-10-02,2017-09-30
IBOV,2017-12-31,,,,,,76402.0,77891.0,,,,,,,,,,,,,,,,,,,,,,,2017-12-31,,2018-01-02,2017-12-31
IBOV,2018-03-31,,,,,,85364.0,84666.0,,,,,,,,,,,,,,,,,,,,,,,2018-03-31,,2018-04-02,2018-03-31
IBOV,2018-06-30,,,,,,72762.0,72839.0,,,,,,,,,,,,,,,,,,,,,,,2018-06-30,,2018-07-02,2018-06-30
IBOV,2018-09-30,,,,,,79350.0,78623.0,,,,,,,,,,,,,,,,,,,,,,,2018-09-30,,2018-10-01,2018-09-30
IBOV,2018-12-31,,,,,,87887.0,91012.0,,,,,,,,,,,,,,,,,,,,,,,2018-12-31,,2019-01-02,2018-12-31
IBOV,2019-03-31,,,,,,95422.0,96054.0,,,,,,,,,,,,,,,,,,,,,,,2019-03-31,,2019-04-01,2019-03-31
IBOV,2019-06-30,,,,,,100973.0,101339.0,,,,,,,,,,,,,,,,,,,,,,,2019-06-30,,2019-07-01,2019-06-30
IBOV,2019-09-30,,,,,,104745.0,104053.0,,,,,,,,,,,,,,,,,,,,,,,2019-09-30,,2019-10-01,2019-09-30
IBOV,2019-12-31,,,,,,115651.0,118573.0,,,,,,,,,,,,,,,,,,,,,,,2019-12-31,,2020-01-02,2019-12-31
