Data,Empresa,RL,LL,EBITDA,Data_Publicacao,Preco_Abertura,Preco_Fechamento,LPA,ROA,ROE,MEB,CRESC_RL_12M,CRESC_LL_12M,CRESC_EBITDA_12M,CAPEX,FCO,FCF,Divida_Liquida,PL,Divida_Bruta,AT,DVA_Despesas_Fin,PC,PNC,Outros_PC,LUB,Consolidado,Convencao,Moeda,Data_Demonstracao,Meses,Data_Analise
2019-12-31,AMBEV S/A,"52599,709","12188,332","20597,064",2020-02-27,"18,86","19,2","0,774848596178","11,9795354064","19,4838720919","39,1581329851","4,7149313","7,1273145","-1,1323258",,"18381,259","-12283,464","-8852,42","62556,005","3062,804","101742,944",,"25011,033","14175,906","3733,269","30921,55",consolidado,IFRS,BRL,2019-12-31,12,2020-01-02
2019-09-30,AMBEV S/A,"52760,74","11432,885","21313,902",2019-10-25,"19,3","19,31","0,72681074994","11,1567207936","17,0585456728","40,3972764597","7,148591","1,9587459","2,5301551",,"17532,567","-9966,678","-10941,06","67021,452","4090,158","102475,317",,"21842,335","13611,53","4029,292","31411,073",consolidado,IFRS,BRL,2019-09-30,12,2019-10-01
2019-06-30,AMBEV S/A,"51866,831","11720,606","21375,548",2019-07-25,"18,1","17,81","0,745243721519","11,8702928861","18,6251930277","41,2123655675","4,6983907","38,5802642","2,4206199",,"19237,697","-11326,88","-9349,128","62928,776","4898,313","98738,979",,"22640,99","13169,213","4054,273","31376,183",consolidado,IFRS,BRL,2019-06-30,12,2019-07-01
2019-03-31,AMBEV S/A,"51231,243","11528,866","21314,92",2019-05-07,"16,87","16,82","0,733085488338","11,8970153324","19,0589264253","41,6053149442","6,0738992","41,3145284","5,426521",,"19199,045","-14127,001","-7751,059","60490,637","5085,238","96905,532",,"23252,886","13162,009","3797,686","31314,663",consolidado,IFRS,BRL,2019-03-31,12,2019-04-01
2018-12-31,AMBEV S/A,"50231,336","11377,427","20832,961",2019-02-28,"15,4","16,15","0,723703382692","12,0874257053","19,7705235251","41,4740332608","4,8686748","44,9260710","4,6207685",,"17911,195","-13221,612","-9054,121","57547,424","2422,768","94126,138",,"24828,37","11750,344","4128,751","30961,709",consolidado,IFRS,BRL,2018-12-31,12,2019-01-02
2018-09-30,AMBEV S/A,"49240,722","11213,246","20787,935",2018-10-25,"18,35","18,43","0,713302828162","11,7181772175","18,6817828124","42,216958151","6,9299076","19,4819373","4,8174636",,"18026,018","-11765,56","-7259,906","60022,355","4980,771","95691,043",,25560,"10108,688","6463,596","31033,702",consolidado,IFRS,BRL,2018-09-30,12,2018-10-01
2018-06-30,AMBEV S/A,"49539,282","8457,63","20870,356",2018-07-26,"17,93","18,14","0,538034733576","9,30213799275","15,8265393784","42,1289028775","9,6729319","-31,966392","8,1476713",,"17332,649","-13100,876","-5775,578","53439,541","4856,995","90921,356",,"27354,843","10126,972","8725,583","31220,853",consolidado,IFRS,BRL,2018-06-30,12,2018-07-02
2018-03-31,AMBEV S/A,"48297,69","8158,302","20217,797",2018-05-09,"24,07","23,85","0,519063488378","9,90338247231","16,3925842839","41,8607949987","6,666234","-34,6249830","3,3085063",,"16681,861","-10485,421","-3498,051","49768,248","4467,655","82378,945",,"22850,307","9760,39","5150,717","30318,305",consolidado,IFRS,BRL,2018-03-31,12,2018-04-02
2017-12-31,AMBEV S/A,"47899,276","7850,504","19912,835",2018-07-05,"21,33","21,69","0,499706783246","9,03894555598","16,361060633","41,5723089426","5,0363728","-39,9964398","-2,8477178",,"17874,062","-12864,137","-7813,36","47982,855","2553,05","86851,989",,"28688,476","10180,658","10238,939","29857,498",consolidado,IFRS,BRL,2017-12-31,12,2018-01-02
2017-09-30,AMBEV S/A,"46049,532","9384,888","19832,511",2017-10-26,"20,92","20,7","0,597466089655","11,3043124341","19,1764400248","43,0677797116","-3,5032228","-24,9699896","-6,6451352",,"16905,978",,"-5018,897","48939,678","3329,611","83020,423",,"23481,745",10599,"8198,771","28388,501",consolidado,IFRS,BRL,2017-09-30,12,2017-10-02
2017-06-30,AMBEV S/A,"45170,017","12431,547","19298,017",2017-07-27,"18,36","18,28","0,791456529169","14,7776441615","24,9970471765","42,7230678262","-5,8637288","0,3193681","-13,2026529",,"16886,584",,"-3848,476","49732,062","4917,636","84124,011",,"26015,981","8375,968","10722,792","27775,649",consolidado,IFRS,BRL,2017-06-30,12,2017-07-03
2017-03-31,AMBEV S/A,"45279,268","12479,235","19570,312",2017-05-04,"18,2",18,"0,794708888504","15,457234827","25,6347806252","43,22135243","-4,7082183","-2,5842973","-10,7220880",,"16543,827",,"-2107,236","48680,873","5132,928","80733,942",,"23904,354","8148,715","7753,211","28038,484",consolidado,IFRS,BRL,2017-03-31,12,2017-04-03
2016-12-31,AMBEV S/A,"45602,561","13083,397","20496,518",2018-07-05,"16,34","16,31","0,833278846715","15,6049328746","28,0451017918","44,9459801172","-2,3920733","1,5859443","-5,7282919",,"12344,513","-11645,142","-2763,31","46651,273","5396,31","83841,418",,"28773,65","8416,495","10212,356","28924,602",consolidado,IFRS,BRL,2016-12-31,12,2017-01-02
2016-09-30,AMBEV S/A,"47721,316","12508,179","21244,218",2016-10-28,"19,71","19,75","0,796719953186","15,8110833147","25,441785358","44,5172509492","9,3101556","-5,8097277","3,2789013",,"15399,529",,"-3350,398","49163,92","4209,396","79110,196",,"21877,422","8068,854","7769,344","30721,936",consolidado,IFRS,BRL,2016-09-30,12,2016-10-03
2016-06-30,AMBEV S/A,"47983,648","12391,971","22233,418",2016-07-29,"19,08","19,22","0,789373486837","16,1655394246","26,90244556","46,3354057616","15,5228241","-5,4285960","12,9483763",,"16343,699",,"-2360,224","46062,619","3633,324","76656,712",,"21894,846","8699,247","9618,667","31455,814",consolidado,IFRS,BRL,2016-06-30,12,2016-07-01
2016-03-31,AMBEV S/A,"47516,446","12810,291","21920,665",2016-05-04,"18,53","18,86","0,816226741491","15,9633742965","26,1327280688","46,1327957903","19,3775363","0,6460528","14,5568491",,"18133,934",,"-2256,549","49020,106","3959,84","80248,015",,"21904,014","9323,895","7438,442","31108,567",consolidado,IFRS,BRL,2016-03-31,12,2016-04-01
2015-12-31,AMBEV S/A,"46720,141","12879,141","21741,961",2016-02-25,"17,73","17,21","0,821107033213","14,2821899171","25,5875450119","46,536591146","22,6901354","4,1831516","20,0068079",,"23580,946","-15327,939","-10235,791","50333,633","3599,476","90176,234",,"30141,913","9700,688","12369,46","30658,77",consolidado,IFRS,BRL,2015-12-31,12,2016-01-04
2015-09-30,AMBEV S/A,"43656,8","13279,693","20569,756",2015-10-30,"19,41","19,7","0,846927244398","15,0831603945","26,3995509746","47,1169577248",,"-2,5048393",,,"21364,877",,"-7414,073","50302,723","2985,521","88043,173",,"28055,75","9684,7","13925,793","28714,581",consolidado,IFRS,BRL,2015-09-30,12,2015-10-01
2015-06-30,AMBEV S/A,"41536,076","13103,296","19684,584",2015-07-30,"19,05","19,1","0,834750097915","17,6034008846","28,531456009","47,3915350116",,"0,0482096",,,"18810,398",,"-5010,335","45925,788","2666,013","74436,162",,"20728,313","7782,061","8513,803","27382,01",consolidado,IFRS,BRL,2015-06-30,12,2015-07-01
2015-03-31,AMBEV S/A,"39803,507","12728,061","19135,185",2015-05-06,"18,65","18,88","0,809999410068","16,9478830461","27,6022619","48,0741181927",,"5,4359650",,,"17549,837",,"-5317,3","46112,384","2691,043","75101,185",,"21767,886","7220,915","8775,508","26383,425",consolidado,IFRS,BRL,2015-03-31,12,2015-04-01
2014-12-31,AMBEV S/A,"38079,786","12362,019","18117,273",2015-02-26,"16,14","16,01","0,786778263161","17,1353897331","28,3242358878","47,5771397455","9,4517491","8,8774246","4,2245304",,"15895,673","-13143,763","-7812,402","43644,669","2622,623","72143,203",,"21824,783","6673,751","7846,705","25265,198",consolidado,IFRS,BRL,2014-12-31,12,2015-01-02
2014-09-30,AMBEV S/A,,,,2014-10-31,"15,85","15,6",,,,,,,,,,,,"43624,1",,"65125,922",,"14590,587","6911,235","3905,387",,consolidado,IFRS,BRL,2014-09-30,0,2014-10-01
2014-06-30,AMBEV S/A,,,,2014-07-31,"15,78","16,03",,,,,,,,,,,,"41948,603",,"62989,043",,"14456,702","6583,738","3437,598",,consolidado,IFRS,BRL,2014-06-30,0,2014-07-01
2014-03-31,AMBEV S/A,,,,2014-05-07,"16,91","17,1",,,,,,,,,,,,"40105,567",,"63297,044",,"16170,391","7021,086","4753,495",,consolidado,IFRS,BRL,2014-03-31,0,2014-04-01
2013-12-31,AMBEV S/A,"34791,391","11354,07","17382,926",2014-03-24,"17,3","17,39","0,725827763936","16,5332831329","25,8062306321","49,9632969547",,"24332,592369",,,"15245,896","-9385,263","-8680,382","43997,398","2894,055","68674,019",,"17180,582","7496,039","4224,941","23393,59",consolidado,IFRS,BRL,2013-12-31,12,2014-01-02
2013-09-30,AMBEV S/A,,,,2013-10-31,,,,,,,,,,,,,,"39685,599",,"59618,974",,"10544,78","9388,595","1197,659",,consolidado,IFRS,BRL,2013-09-30,0,2013-10-01
2013-06-30,AMBEV S/A,,,,2013-10-31,,,,,,,,,,,,,,"39556,681",,"58739,269",,"10060,018","9122,57","1380,137",,consolidado,IFRS,BRL,2013-06-30,0,2013-07-01
2013-03-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-03-31,,2013-04-01
2012-12-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-12-31,,2013-01-02
2012-09-30,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-09-30,,2012-10-01
2012-06-30,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-06-30,,2012-07-02
2012-03-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-31,,2012-04-02
2011-12-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-12-31,,2012-01-02
2011-09-30,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-09-30,,2011-10-03
2011-06-30,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-06-30,,2011-07-01
2011-03-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-03-31,,2011-04-01
2010-12-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-12-31,,2011-01-03
2010-09-30,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-09-30,,2010-10-01
2010-06-30,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-06-30,,2010-07-01
2010-03-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-03-31,,2010-04-01
2009-12-31,AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-12-31,,2010-01-04
