feature,importance
FCF_Q_Change,182.0
PC_Q_Change,166.0
CRESC_EBITDA_12M_Q_Change,158.0
Outros_PC_Q_Change,151.0
PL_Q_Change,148.0
FCF_Y_Change,146.0
PNC_Y_Change,142.0
Preco_Abertura_Q_Change,140.0
EPS_Earnings_Surprise_Backward_Diff,140.0
Outros_PC_Y_Change,139.0
CRESC_LL_12M_Q_Change,137.0
PNC_Q_Change,136.0
CRESC_LL_12M_Y_Change,132.0
CRESC_LL_12M_MET,131.0
MEB_MET,130.0
Outros_PC_MET,127.0
FCO_Q_Change,126.0
MOM_12M,126.0
MOM_6M,125.0
Preco_Abertura_Y_Change,124.0
Divida_Liquida_Q_Change,123.0
Divida_Liquida_MET,123.0
PC_MET,123.0
CRESC_RL_12M_MET,122.0
MA50,122.0
MA5_200,121.0
CRESC_RL_12M_Y_Change,120.0
RL_MET,119.0
LUB_Q_Change,118.0
MA200,117.0
PL_MET,115.0
EBITDA_Q_Change,115.0
MEB_Q_Change,114.0
MA5,114.0
FCO_Y_Change,112.0
EPS_Earnings_Surprise_Backward_Ave_Diff,111.0
FCF_MET,111.0
LUB_MET,110.0
AT_Q_Change,110.0
Divida_Bruta_Q_Change,109.0
CRESC_RL_12M_Q_Change,109.0
MA50_200,108.0
CRESC_EBITDA_12M_Y_Change,107.0
EBITDA_MET,105.0
RL_Q_Change,105.0
Preco_Fechamento_Q_Change,104.0
MEB_Y_Change,104.0
PNC_MET,104.0
FCO_MET,98.0
PC_Y_Change,98.0
RL_Y_Change,97.0
LPA_MET,97.0
MOM_3M,92.0
Divida_Liquida_Y_Change,89.0
ROE_Q_Change,89.0
AT_MET,86.0
LPA_Y_Change,86.0
Preco_Fechamento_Y_Change,85.0
LUB_Y_Change,84.0
MOM_1M,81.0
Divida_Bruta_Y_Change,79.0
Divida_Bruta_MET,79.0
PL_Y_Change,79.0
RSI9,78.0
CRESC_EBITDA_12M_MET,76.0
LL_Y_Change,76.0
LL_Q_Change,75.0
ROA_Q_Change,75.0
ROA_MET,73.0
ROE_MET,73.0
MA5_50,73.0
RSI30,73.0
ROA_Y_Change,71.0
Preco_Fechamento_MET,71.0
EBITDA_Y_Change,68.0
LL_MET,67.0
Preco_Abertura_MET,66.0
RSI14,66.0
LPA_Q_Change,64.0
AT_Y_Change,63.0
ROE_Y_Change,60.0
EPS_EarningsSurprise,23.0
DVA_Despesas_Fin_Q_Change,1.0
DVA_Despesas_Fin_Y_Change,0.0
CAPEX_Y_Change,0.0
CAPEX_Q_Change,0.0
CAPEX_MET,0.0
DVA_Despesas_Fin_MET,0.0
