feature,importance
Preco_Abertura_Q_Change,530.0
RL_MET,519.0
MOM_12M,493.0
RL_Q_Change,491.0
Preco_Abertura_Y_Change,483.0
FCO_Q_Change,446.0
CRESC_EBITDA_12M_Q_Change,443.0
MOM_3M,441.0
FCF_Q_Change,435.0
CRESC_LL_12M_Q_Change,433.0
MOM_6M,428.0
CRESC_LL_12M_MET,428.0
MA50_200,422.0
Preco_Abertura_MET,421.0
FCF_Y_Change,420.0
MA200,420.0
PC_Q_Change,410.0
CRESC_EBITDA_12M_Y_Change,409.0
CRESC_RL_12M_Q_Change,408.0
Outros_PC_Y_Change,402.0
RSI9,400.0
FCO_MET,399.0
MOM_1M,396.0
PNC_MET,392.0
PNC_Q_Change,391.0
EBITDA_MET,390.0
PC_Y_Change,382.0
CRESC_LL_12M_Y_Change,381.0
Outros_PC_Q_Change,381.0
MA5,381.0
EBITDA_Y_Change,380.0
RL_Y_Change,371.0
FCO_Y_Change,366.0
Outros_PC_MET,365.0
EBITDA_Q_Change,363.0
MA5_50,361.0
FCF_MET,357.0
MA5_200,353.0
CRESC_EBITDA_12M_MET,351.0
PC_MET,346.0
LL_Y_Change,340.0
PL_Q_Change,340.0
EPS_Earnings_Surprise_Backward_Diff,336.0
CRESC_RL_12M_Y_Change,336.0
LUB_Q_Change,336.0
Divida_Liquida_Q_Change,335.0
AT_Q_Change,331.0
EPS_Earnings_Surprise_Backward_Ave_Diff,329.0
CRESC_RL_12M_MET,328.0
Divida_Bruta_Q_Change,328.0
MEB_MET,326.0
PNC_Y_Change,325.0
Preco_Fechamento_Q_Change,321.0
Divida_Liquida_MET,320.0
LL_MET,318.0
MEB_Q_Change,317.0
LPA_Y_Change,312.0
MA50,310.0
Preco_Fechamento_Y_Change,306.0
MEB_Y_Change,304.0
PL_MET,303.0
LUB_MET,299.0
AT_MET,298.0
LL_Q_Change,297.0
LPA_MET,297.0
PL_Y_Change,291.0
ROA_MET,290.0
RSI30,288.0
Divida_Liquida_Y_Change,284.0
RSI14,265.0
ROA_Y_Change,264.0
Divida_Bruta_Y_Change,257.0
ROE_MET,254.0
Divida_Bruta_MET,253.0
ROE_Q_Change,246.0
LUB_Y_Change,243.0
ROE_Y_Change,237.0
ROA_Q_Change,221.0
AT_Y_Change,219.0
Preco_Fechamento_MET,214.0
LPA_Q_Change,210.0
EPS_EarningsSurprise,46.0
DVA_Despesas_Fin_Y_Change,19.0
DVA_Despesas_Fin_Q_Change,16.0
DVA_Despesas_Fin_MET,13.0
CAPEX_Q_Change,1.0
CAPEX_MET,0.0
CAPEX_Y_Change,0.0
